Title,Link,Views,Likes,Comments,Channel Title,Description,Tags,Published
"Reload Zero Build 🤣 #fortnite #fortnitefunnymoments #fortnitememes","https://youtube.com/shorts/tmtd9h4KrLY",17695568,510460,764,"DiZelFN","","",2025-01-30 00:11
"When iPad Kids Play Too Much Fortnite. (Deadpool 3)","https://youtube.com/shorts/RN8f4v8UVf8",12987638,738851,3836,"Hew Moran","When The Youngest Child Plays Too Much Fortnite. (Deadpool 3)  Subscribe or Fortnite Kid will crank 90s on you! https://www.youtube.com/@HewMoran  Hey there! I'm Hew Moran, a content creator who combines my passion for gaming, YouTube, and comedy into skits you’ll find hilariously relatable. On my channel, you'll see videos about funny everyday moments, like Fortnite kids thinking Fortnite invented everything, the highs and lows of being the youngest child vs. oldest sibling, and so much more. My favorite games include Minecraft, Fortnite, and GTA, and I grew up inspired by YouTubers like Rhett & Link, MrBeast, and Logan Paul. Now, I'm thrilled to be creating alongside amazing creators like Dimucc, Corey Tonge, Greg Renko, Ian Boggs, Luke Davidson, and others. Subscribe for laughs, relatable moments, and a new spin on gaming and life!","",2024-09-30 03:02
"What's Better, Minecraft or Fortnite?","https://youtube.com/shorts/cpQmOkwP4X4",8712312,712174,25048,"Team Jesser","What do you think is better, Minecraft Or Fortnite?","jesser, jesser reacts",2024-10-08 06:00
"Reload Zero Build 🤣 #fortnite #fortnitefunnymoments #fortnitememes","https://youtube.com/shorts/Db9fFc02oS0",7596878,209319,277,"DiZelFN","","",2025-02-08 17:37
"I got a Fortnite Skin From TEMU😂","https://youtube.com/shorts/y49FVi9Vl4A",11628623,189535,490,"Chica","I got a Fortnite Skin From TEMU😂  #Chica #Fortnite #shorts #gaming","chica, fortnite, fortnite funny, fortnite memes, fortnite tiktoks, fortnite gameplay, fortnite new, fortnite leaks, update fortnite, fortnite star wars, sypherpk, fortnite new update, fortnite leaked skins, fortnite season 3, fortnite update, fortnite season 3 new, update, battle pass, fortnite xp, star wars, typical gamer, tg plays, tg, tg icon skin, chapter 6 season 3, shorts, new update, icon skin, #shorts, #gaming, #fortnite, fortnite skin, fortnite item shop",2025-05-24 04:12
"またもやビクロイを譲ってしまった…  #fortnite #フォートナイト #アジア1位 #リロード #アンリアル","https://youtube.com/shorts/03o35HS_TEo",5672198,147190,1638,"Spanky.K","動画を見に来て下さりありがとうございます Spanky(スパンキー)です  Fortniteの大会や配信をしています！  🍀年内50000人目指してます!!🍀 ファンマ🌞  大会実績  ・ソロビクトリーキャッシュ予選1位  ・ソロビクトリーキャッシュ予選2位  ・デュオキ予選ャッシュ予選10位  ・FNCS予選10位 etc…   ※注意※  参加型でフレンドになった人場合しばらくするとフレンド削除する場合があります。   グッズ販売 https://bluephoenix.base.shop/  Twitter https://x.com/spankyk01   TEAM https://x.com/Blue_Phoenix_fn   #fortnite #アンリアル #フォートナイト #ソロ一位  #チャプター6","",2025-02-18 18:00
"最強すぎるエイム練習方法 [フォートナイト]","https://youtube.com/shorts/EW2x8bMEkf4",4386685,103764,1248,"i_karg      (かーぐ)","#shorts  #フォートナイト","#フォートナイト, #エイム練習",2024-07-17 15:11
"Playing Fortnite in a Tesla 🚔","https://youtube.com/shorts/JZN_dzSH3ek",6110014,174604,2301,"Nathan Espinoza","","",2025-05-17 14:37
"Longest Slide in Fortnite (World Record 2025)","https://youtube.com/shorts/JpOkH2PmaHk",6066787,92900,120,"Replayz","Longest Slide in Fortnite (World Record 2025)  #shorts #fortnite #worldrecord #replayz #SpringOnYouTube","shorts, #shorts, tiktok, youtube, fortnite, fortnite world record, Longest Slide in Fortnite (World Record 2025), Longest Slide in Fortnite, replayz",2025-04-23 03:00
"Mom and dad catch son playing Fortnite but he didn’t do his homework #shorts","https://youtube.com/shorts/-kZHDJQAfOY",3015480,50513,477,"The Trench Family","","",2024-08-27 08:52
